Name,Max. Freq (MHz),Flux Density (Jy),x_err_min,x_err_max,y_err_min,y_err_max
WASP-18 b,103.44367808969636,0.02923156867802255,9.430530958506836,8.579535016411668,0.010852259865697995,0.028007201961240253
TOI-2260 b,132.95564015540597,0.011302189893980526,18.692750072599722,14.1227177479891,0.0032412103963311185,0.005377886133133964
55 Cnc e,117.51634737787865,0.009586102929534886,3.7266247991341857,3.478858864130004,0.002117077430144107,0.002928316907960223
Kepler-78 b,151.0441108494274,0.0013716397459328136,14.912814374795147,12.998833087788114,0.00025372015354678144,0.00040103501283581824
K2-141 b,207.8553862846971,0.0013469009568436354,12.672460047349205,11.923827468326294,0.0005397453809807267,0.0016499897260630475
GJ 1252 b,103.73421872219727,0.0012686286023198055,32.54806816271126,18.73648411968263,0.0002920359958057787,0.00042802176538576367
HD 213885 b,117.79091323362263,0.000818030247602691,6.980285416595976,6.425903342274509,0.00013980176068276835,0.00018415303010235653
HD 80653 b,125.76518366262141,0.0005222880442078871,9.386949733149436,9.017528230005354,0.0001484369039096082,0.00030809562935120427
Wolf 327 b,138.89811004567764,0.0005106641986162418,17.28761262473249,15.227724888606105,0.00019769502838632688,0.0005163373268868726
TOI-500 b,115.86842571954554,0.00045788739796259184,13.197654740519084,11.274316654737532,8.407495868311988e-05,0.00010400522139409252
LTT 3780 b,107.47763061642596,0.00042962900487555786,8.5313911636417,7.830848436942219,0.00018043739079974405,0.0005521806275888151
TOI-1075 b,153.88026367551535,0.00031309720416565566,17.083970175120783,14.985019788659116,0.00011084660335369822,0.00027048247295311293
TOI-561 b,111.134740116509,0.00030592247473239676,14.246133772967084,8.709429461384516,7.598014090876406e-05,0.00011762745084297616
HD 93963 A b,159.4943804886511,0.00025690993654499817,17.754024370732594,15.589742005583645,6.822149011327872e-05,0.00013431518634898456
TOI-849 b,101.88016780609351,0.0001281135733097087,7.731641640461291,7.136227987012489,3.732713659266818e-05,7.183476878435996e-05
TOI-332 b,137.2476996007225,0.00011010874654814018,8.80443287668865,8.156609535252272,3.415962315788961e-05,6.85847557747117e-05
CoRoT-7 b,129.10438132084016,9.021100644041947e-05,2.9949902201439897,1.7584392385208787,2.7382227092239954e-05,4.4929952026700234e-05
K2-229 b,152.51251129486167,6.614035731688955e-05,19.173665180833012,17.03275373033,2.499100234867844e-05,7.67820361829695e-05
WASP-84 c,109.1701340641954,6.05633641563031e-05,21.64972187299537,17.269488563592915,2.2967584509356327e-05,5.368704537661566e-05
EPIC 220674823 b,153.1733380122024,5.2538115916294186e-05,8.554657366910192,8.079392327248257,1.7519586579707122e-05,4.1126769116526013e-05
LHS 1678 b,100.91302920701855,5.1313730324819556e-05,15.48627302324951,11.065041051889452,1.6201278849336237e-05,2.8283116975219414e-05
Kepler-42 c,109.2159893792116,2.369638281403856e-05,74.46009642002628,20.164277938808965,1.7456970278943213e-05,6.443277628195564e-05
K2-233 b,127.37185366747609,2.2244394614412008e-05,13.230446667250533,12.19133265113841,4.058910487230316e-06,1.73532696807441e-05
Kepler-267 b,110.15700266553247,4.02775954271739e-07,12.131774424034745,10.639319802275196,2.092186284405308e-07,7.099388430008394e-07
K2-19 d,177.1019932755385,1.9879948727572526e-07,18.794872876500364,16.563141923459682,4.330867522771379e-08,5.630797540994157e-08
